repo,url,stars,language,created_at,age_years,merged_pull_requests,total_releases,pushed_at,days_since_update,open_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,539006,Markdown,2018-05-09T12:03:18Z,8.26,157,0,2026-07-14T19:25:58Z,28,265,677,0.7187
sindresorhus/awesome,https://github.com/sindresorhus/awesome,494843,,2014-07-11T13:42:37Z,12.09,700,0,2026-06-30T18:21:16Z,42,16,352,0.9565
public-apis/public-apis,https://github.com/public-apis/public-apis,455620,Python,2016-03-20T23:49:42Z,10.39,2119,0,2026-08-12T09:25:54Z,0,10,911,0.9891
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,453884,TypeScript,2014-12-24T17:49:19Z,11.63,29071,0,2026-08-12T14:21:03Z,0,172,21876,0.9922
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394226,Python,2013-10-11T06:50:37Z,12.84,7417,0,2026-08-11T12:11:06Z,1,38,1254,0.9706
openclaw/openclaw,https://github.com/openclaw/openclaw,386055,TypeScript,2025-11-24T10:16:47Z,0.71,24226,233,2026-08-12T14:35:57Z,0,3422,43375,0.9269
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364227,TypeScript,2017-03-15T13:45:52Z,9.41,4387,1,2026-08-07T12:43:15Z,5,1,3183,0.9997
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,363386,Python,2017-02-26T16:15:28Z,9.45,210,0,2026-03-20T01:52:19Z,145,272,127,0.3183
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,358481,,2016-06-06T02:34:12Z,10.18,415,0,2025-08-28T14:42:47Z,348,81,455,0.8489
vinta/awesome-python,https://github.com/vinta/awesome-python,313556,Python,2014-06-27T21:00:06Z,12.12,738,0,2026-08-05T06:11:04Z,7,0,0,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,312193,,2015-06-01T02:33:17Z,11.2,0,1,2026-08-10T20:53:03Z,1,0,0,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,278784,Python,2017-04-12T05:07:46Z,9.33,194,0,2026-08-10T07:04:22Z,2,151,88,0.3682
996icu/996.ICU,https://github.com/996icu/996.ICU,276621,,2019-03-26T07:31:14Z,7.38,1071,0,2025-08-22T06:01:29Z,355,0,0,
obra/superpowers,https://github.com/obra/superpowers,271112,Shell,2025-10-09T19:45:18Z,0.84,165,11,2026-08-12T05:08:28Z,0,152,682,0.8177
react/react,https://github.com/react/react,247194,JavaScript,2013-05-24T16:15:54Z,13.22,13031,132,2026-08-12T11:26:33Z,0,814,13798,0.9443
torvalds/linux,https://github.com/torvalds/linux,242601,C,2011-09-04T22:48:12Z,14.93,0,0,2026-08-11T15:08:38Z,0,0,0,
affaan-m/ECC,https://github.com/affaan-m/ECC,239654,JavaScript,2026-01-18T00:51:51Z,0.56,986,15,2026-08-12T05:55:43Z,0,41,660,0.9415
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,237961,,2018-06-23T10:43:14Z,8.14,122,0,2024-11-19T14:00:38Z,631,0,0,
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,229404,Python,2025-07-22T22:22:28Z,1.05,10341,24,2026-08-12T14:26:54Z,0,10474,10559,0.502
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223674,Python,2016-07-16T09:44:01Z,10.07,3088,0,2026-08-03T18:44:56Z,8,143,1606,0.9182
mattpocock/skills,https://github.com/mattpocock/skills,214717,Shell,2026-02-03T11:15:53Z,0.52,85,7,2026-08-07T15:50:46Z,4,322,299,0.4815
vuejs/vue,https://github.com/vuejs/vue,210232,TypeScript,2013-07-29T03:24:51Z,13.04,1136,249,2024-10-10T07:24:15Z,671,365,9670,0.9636
ossu/computer-science,https://github.com/ossu/computer-science,207917,HTML,2014-05-04T00:18:39Z,12.27,315,0,2026-07-14T05:38:25Z,29,16,658,0.9763
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,201797,,2026-01-27T03:53:13Z,0.54,12,0,2026-04-20T10:05:04Z,114,0,0,
n8n-io/n8n,https://github.com/n8n-io/n8n,200352,TypeScript,2019-06-22T09:24:21Z,7.14,19827,758,2026-08-12T14:34:50Z,0,339,9627,0.966
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,196973,C++,2015-11-07T01:19:20Z,10.76,48803,222,2026-08-12T14:36:33Z,0,790,40888,0.981
anomalyco/opencode,https://github.com/anomalyco/opencode,196469,TypeScript,2025-04-30T20:08:00Z,1.28,7009,858,2026-08-12T14:32:02Z,0,3850,19549,0.8355
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196446,JavaScript,2018-03-24T07:47:04Z,8.39,309,0,2026-07-26T02:43:08Z,17,135,238,0.6381
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195062,Rust,2026-03-31T08:58:08Z,0.37,141,0,2026-08-06T11:18:35Z,6,16,2195,0.9928
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,192432,Markdown,2024-05-30T13:23:00Z,2.2,0,0,2026-08-12T10:36:46Z,0,0,0,
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189134,Shell,2009-08-28T18:15:37Z,16.95,3650,0,2026-08-11T11:03:43Z,1,150,4926,0.9704
microsoft/vscode,https://github.com/microsoft/vscode,188630,TypeScript,2015-09-03T20:23:38Z,10.94,51742,233,2026-08-12T14:34:34Z,0,17376,233225,0.9307
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,186802,Batchfile,2020-01-12T23:03:34Z,6.58,7,31,2026-07-04T16:54:38Z,38,5,1062,0.9953
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186554,Python,2023-03-16T09:21:07Z,3.41,4741,116,2026-08-12T14:26:55Z,0,301,3637,0.9236
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185135,Jupyter Notebook,2018-03-01T16:05:52Z,8.45,13,0,2026-07-29T15:18:29Z,13,537,192,0.2634
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185031,,2018-02-13T14:56:24Z,8.49,374,0,2024-08-21T09:40:10Z,721,130,449,0.7755
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184646,,2013-11-16T02:37:24Z,12.74,370,0,2026-02-15T04:36:44Z,178,0,947,1.0
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,184049,Python,2020-10-26T04:22:55Z,5.79,3387,135,2026-08-04T22:58:34Z,7,1976,9914,0.8338
avelino/awesome-go,https://github.com/avelino/awesome-go,180872,Go,2014-07-06T13:42:15Z,12.1,3860,0,2026-08-11T21:38:50Z,0,19,736,0.9748
flutter/flutter,https://github.com/flutter/flutter,178355,Dart,2015-03-06T22:54:58Z,11.43,49506,7,2026-08-12T11:39:02Z,0,12567,102552,0.8908
ollama/ollama,https://github.com/ollama/ollama,178344,Go,2023-06-26T19:39:32Z,3.13,3507,240,2026-08-12T14:31:00Z,0,2377,8564,0.7827
github/gitignore,https://github.com/github/gitignore,175259,,2010-11-08T20:17:14Z,15.76,1779,0,2026-07-23T16:06:45Z,19,0,0,
twbs/bootstrap,https://github.com/twbs/bootstrap,174580,MDX,2011-07-29T21:19:00Z,15.04,9479,94,2026-08-12T05:33:57Z,0,106,22833,0.9954
microsoft/markitdown,https://github.com/microsoft/markitdown,173331,Python,2024-11-13T19:56:40Z,1.74,183,20,2026-07-29T18:18:09Z,13,382,181,0.3215
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,170513,Python,2016-05-04T06:24:11Z,10.27,17,68,2026-08-02T07:58:25Z,10,586,2708,0.8221
anthropics/skills,https://github.com/anthropics/skills,168455,Python,2025-09-22T15:53:31Z,0.88,46,0,2026-08-07T17:14:15Z,4,312,48,0.1333
f/prompts.chat,https://github.com/f/prompts.chat,167049,HTML,2022-12-05T13:54:13Z,3.69,237,0,2026-08-12T03:47:11Z,0,20,152,0.8837
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,166258,TypeScript,2024-04-15T21:02:29Z,2.32,1918,35,2026-08-12T14:32:56Z,0,59,885,0.9375
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164495,Python,2022-08-22T14:05:26Z,3.97,1875,27,2026-03-02T07:00:53Z,163,2422,5491,0.6939
huggingface/transformers,https://github.com/huggingface/transformers,163998,Python,2018-10-29T13:56:00Z,7.79,20145,268,2026-08-12T14:18:22Z,0,894,18406,0.9537
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,162091,,2015-05-20T15:11:03Z,11.23,317,0,2024-06-25T18:13:44Z,777,126,138,0.5227
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,157723,JavaScript,2018-05-07T13:27:00Z,8.27,1268,0,2026-08-08T06:58:19Z,4,57,1098,0.9506
langflow-ai/langflow,https://github.com/langflow-ai/langflow,153090,Python,2023-02-08T22:28:03Z,3.5,7217,303,2026-08-12T14:36:30Z,0,215,3200,0.937
langgenius/dify,https://github.com/langgenius/dify,152211,TypeScript,2023-04-12T07:40:24Z,3.33,13230,168,2026-08-12T13:44:49Z,0,279,18313,0.985
open-webui/open-webui,https://github.com/open-webui/open-webui,148586,Python,2023-10-06T22:08:27Z,2.85,4025,167,2026-08-12T07:13:40Z,0,189,9137,0.9797
airbnb/javascript,https://github.com/airbnb/javascript,148133,JavaScript,2012-11-01T23:13:50Z,13.77,822,0,2026-04-16T19:24:09Z,117,100,1315,0.9293
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,147499,C,2017-11-21T18:00:27Z,8.72,153,52,2026-07-12T18:16:07Z,30,2788,3356,0.5462
